Team,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
TOR,60,Mon Feb 28 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,133,97,33,27,W 1,
TOR,61,Tue Mar 1 2022,7:30p,,Box Score,,Brooklyn Nets,W,,109,108,34,27,W 2,
TOR,62,Thu Mar 3 2022,7:30p,,Box Score,,Detroit Pistons,L,,106,108,34,28,L 1,
TOR,63,Fri Mar 4 2022,7:30p,,Box Score,,Orlando Magic,L,,97,103,34,29,L 2,
TOR,64,Sun Mar 6 2022,7:30p,,Box Score,@,Cleveland Cavaliers,L,,96,104,34,30,L 3,
TOR,65,Wed Mar 9 2022,8:30p,,Box Score,@,San Antonio Spurs,W,,119,104,35,30,W 1,
TOR,66,Fri Mar 11 2022,9:00p,,Box Score,@,Phoenix Suns,W,,117,112,36,30,W 2,
TOR,67,Sat Mar 12 2022,9:00p,,Box Score,@,Denver Nuggets,W,,127,115,37,30,W 3,
TOR,68,Mon Mar 14 2022,10:30p,,Box Score,@,Los Angeles Lakers,W,,114,103,38,30,W 4,
TOR,69,Wed Mar 16 2022,10:30p,,Box Score,@,Los Angeles Clippers,W,,103,100,39,30,W 5,
TOR,70,Fri Mar 18 2022,7:30p,,Box Score,,Los Angeles Lakers,L,OT,123,128,39,31,L 1,
TOR,71,Sun Mar 20 2022,8:30p,,Box Score,@,Philadelphia 76ers,W,,93,88,40,31,W 1,
TOR,72,Mon Mar 21 2022,8:00p,,Box Score,@,Chicago Bulls,L,,99,113,40,32,L 1,
TOR,73,Thu Mar 24 2022,7:30p,,Box Score,,Cleveland Cavaliers,W,,117,104,41,32,W 1,
TOR,74,Sat Mar 26 2022,7:30p,,Box Score,,Indiana Pacers,W,,131,91,42,32,W 2,
TOR,75,Mon Mar 28 2022,7:30p,,Box Score,,Boston Celtics,W,OT,115,112,43,32,W 3,
TOR,76,Wed Mar 30 2022,7:30p,,Box Score,,Minnesota Timberwolves,W,,125,102,44,32,W 4,
TOR,77,Fri Apr 1 2022,7:00p,,Box Score,@,Orlando Magic,W,,102,89,45,32,W 5,
TOR,78,Sun Apr 3 2022,7:00p,,Box Score,,Miami Heat,L,,109,114,45,33,L 1,
TOR,79,Tue Apr 5 2022,7:30p,,Box Score,,Atlanta Hawks,W,,118,108,46,33,W 1,
TOR,80,Thu Apr 7 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,119,114,47,33,W 2,
TOR,81,Fri Apr 8 2022,7:30p,,Box Score,,Houston Rockets,W,,117,115,48,33,W 3,
TOR,82,Sun Apr 10 2022,7:00p,,Box Score,@,New York Knicks,L,,94,105,48,34,L 1,
LAL,1,Tue Oct 19 2021,10:00p,,Box Score,,Golden State Warriors,L,,114,121,0,1,L 1,
LAL,2,Fri Oct 22 2021,10:00p,,Box Score,,Phoenix Suns,L,,105,115,0,2,L 2,
LAL,3,Sun Oct 24 2021,9:30p,,Box Score,,Memphis Grizzlies,W,,121,118,1,2,W 1,
LAL,4,Tue Oct 26 2021,8:30p,,Box Score,@,San Antonio Spurs,W,OT,125,121,2,2,W 2,
LAL,5,Wed Oct 27 2021,8:00p,,Box Score,@,Oklahoma City Thunder,L,,115,123,2,3,L 1,
LAL,6,Fri Oct 29 2021,10:30p,,Box Score,,Cleveland Cavaliers,W,,113,101,3,3,W 1,
LAL,7,Sun Oct 31 2021,10:30p,,Box Score,,Houston Rockets,W,,95,85,4,3,W 2,
LAL,8,Tue Nov 2 2021,10:30p,,Box Score,,Houston Rockets,W,,119,117,5,3,W 3,
LAL,9,Thu Nov 4 2021,10:30p,,Box Score,,Oklahoma City Thunder,L,,104,107,5,4,L 1,
LAL,10,Sat Nov 6 2021,10:30p,,Box Score,@,Portland Trail Blazers,L,,90,105,5,5,L 2,
LAL,11,Mon Nov 8 2021,10:30p,,Box Score,,Charlotte Hornets,W,OT,126,123,6,5,W 1,
LAL,12,Wed Nov 10 2021,10:00p,,Box Score,,Miami Heat,W,OT,120,117,7,5,W 2,
LAL,13,Fri Nov 12 2021,10:30p,,Box Score,,Minnesota Timberwolves,L,,83,107,7,6,L 1,
LAL,14,Sun Nov 14 2021,3:30p,,Box Score,,San Antonio Spurs,W,,114,106,8,6,W 1,
LAL,15,Mon Nov 15 2021,10:30p,,Box Score,,Chicago Bulls,L,,103,121,8,7,L 1,
LAL,16,Wed Nov 17 2021,7:30p,,Box Score,@,Milwaukee Bucks,L,,102,109,8,8,L 2,
LAL,17,Fri Nov 19 2021,7:30p,,Box Score,@,Boston Celtics,L,,108,130,8,9,L 3,
LAL,18,Sun Nov 21 2021,6:00p,,Box Score,@,Detroit Pistons,W,,121,116,9,9,W 1,
LAL,19,Tue Nov 23 2021,7:30p,,Box Score,@,New York Knicks,L,,100,106,9,10,L 1,
LAL,20,Wed Nov 24 2021,7:00p,,Box Score,@,Indiana Pacers,W,OT,124,116,10,10,W 1,
LAL,21,Fri Nov 26 2021,10:30p,,Box Score,,Sacramento Kings,L,3OT,137,141,10,11,L 1,
LAL,22,Sun Nov 28 2021,9:30p,,Box Score,,Detroit Pistons,W,,110,106,11,11,W 1,
LAL,23,Tue Nov 30 2021,10:00p,,Box Score,@,Sacramento Kings,W,,117,92,12,11,W 2,
LAL,24,Fri Dec 3 2021,10:00p,,Box Score,,Los Angeles Clippers,L,,115,119,12,12,L 1,
LAL,25,Tue Dec 7 2021,10:00p,,Box Score,,Boston Celtics,W,,117,102,13,12,W 1,
LAL,26,Thu Dec 9 2021,8:00p,,Box Score,@,Memphis Grizzlies,L,,95,108,13,13,L 1,
LAL,27,Fri Dec 10 2021,8:00p,,Box Score,@,Oklahoma City Thunder,W,,116,95,14,13,W 1,
LAL,28,Sun Dec 12 2021,9:30p,,Box Score,,Orlando Magic,W,,106,94,15,13,W 2,
LAL,29,Wed Dec 15 2021,7:30p,,Box Score,@,Dallas Mavericks,W,OT,107,104,16,13,W 3,
LAL,30,Fri Dec 17 2021,10:00p,,Box Score,@,Minnesota Timberwolves,L,,92,110,16,14,L 1,
LAL,31,Sun Dec 19 2021,8:00p,,Box Score,@,Chicago Bulls,L,,110,115,16,15,L 2,
LAL,32,Tue Dec 21 2021,10:00p,,Box Score,,Phoenix Suns,L,,90,108,16,16,L 3,
LAL,33,Thu Dec 23 2021,10:30p,,Box Score,,San Antonio Spurs,L,,110,138,16,17,L 4,
LAL,34,Sat Dec 25 2021,8:00p,,Box Score,,Brooklyn Nets,L,,115,122,16,18,L 5,
LAL,35,Tue Dec 28 2021,8:00p,,Box Score,@,Houston Rockets,W,,132,123,17,18,W 1,
LAL,36,Wed Dec 29 2021,8:00p,,Box Score,@,Memphis Grizzlies,L,,99,104,17,19,L 1,
LAL,37,Fri Dec 31 2021,10:30p,,Box Score,,Portland Trail Blazers,W,,139,106,18,19,W 1,
LAL,38,Sun Jan 2 2022,9:30p,,Box Score,,Minnesota Timberwolves,W,,108,103,19,19,W 2,
LAL,39,Tue Jan 4 2022,10:30p,,Box Score,,Sacramento Kings,W,,122,114,20,19,W 3,
LAL,40,Fri Jan 7 2022,10:00p,,Box Score,,Atlanta Hawks,W,,134,118,21,19,W 4,
LAL,41,Sun Jan 9 2022,9:30p,,Box Score,,Memphis Grizzlies,L,,119,127,21,20,L 1,
LAL,42,Wed Jan 12 2022,10:00p,,Box Score,@,Sacramento Kings,L,,116,125,21,21,L 2,
LAL,43,Sat Jan 15 2022,9:00p,,Box Score,@,Denver Nuggets,L,,96,133,21,22,L 3,
LAL,44,Mon Jan 17 2022,10:30p,,Box Score,,Utah Jazz,W,,101,95,22,22,W 1,
LAL,45,Wed Jan 19 2022,10:30p,,Box Score,,Indiana Pacers,L,,104,111,22,23,L 1,
LAL,46,Fri Jan 21 2022,7:00p,,Box Score,@,Orlando Magic,W,,116,105,23,23,W 1,
LAL,47,Sun Jan 23 2022,6:00p,,Box Score,@,Miami Heat,L,,107,113,23,24,L 1,
LAL,48,Tue Jan 25 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,106,96,24,24,W 1,
LAL,49,Thu Jan 27 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,87,105,24,25,L 1,
LAL,50,Fri Jan 28 2022,7:30p,,Box Score,@,Charlotte Hornets,L,,114,117,24,26,L 2,
LAL,51,Sun Jan 30 2022,1:00p,,Box Score,@,Atlanta Hawks,L,,121,129,24,27,L 3,
LAL,52,Wed Feb 2 2022,10:30p,,Box Score,,Portland Trail Blazers,W,,99,94,25,27,W 1,
LAL,53,Thu Feb 3 2022,10:00p,,Box Score,@,Los Angeles Clippers,L,,110,111,25,28,L 1,
LAL,54,Sat Feb 5 2022,8:30p,,Box Score,,New York Knicks,W,OT,122,115,26,28,W 1,
LAL,55,Tue Feb 8 2022,10:00p,,Box Score,,Milwaukee Bucks,L,,116,131,26,29,L 1,
LAL,56,Wed Feb 9 2022,10:00p,,Box Score,@,Portland Trail Blazers,L,,105,107,26,30,L 2,
LAL,57,Sat Feb 12 2022,8:30p,,Box Score,@,Golden State Warriors,L,,115,117,26,31,L 3,
LAL,58,Wed Feb 16 2022,10:00p,,Box Score,,Utah Jazz,W,,106,101,27,31,W 1,
LAL,59,Fri Feb 25 2022,10:00p,,Box Score,,Los Angeles Clippers,L,,102,105,27,32,L 1,
LAL,60,Sun Feb 27 2022,10:00p,,Box Score,,New Orleans Pelicans,L,,95,123,27,33,L 2,
LAL,61,Tue Mar 1 2022,10:00p,,Box Score,,Dallas Mavericks,L,,104,109,27,34,L 3,
LAL,62,Thu Mar 3 2022,10:00p,,Box Score,@,Los Angeles Clippers,L,,111,132,27,35,L 4,
LAL,63,Sat Mar 5 2022,8:30p,,Box Score,,Golden State Warriors,W,,124,116,28,35,W 1,
LAL,64,Mon Mar 7 2022,8:30p,,Box Score,@,San Antonio Spurs,L,,110,117,28,36,L 1,
LAL,65,Wed Mar 9 2022,8:00p,,Box Score,@,Houston Rockets,L,OT,130,139,28,37,L 2,
LAL,66,Fri Mar 11 2022,10:30p,,Box Score,,Washington Wizards,W,,122,109,29,37,W 1,
LAL,67,Sun Mar 13 2022,9:00p,,Box Score,@,Phoenix Suns,L,,111,140,29,38,L 1,
LAL,68,Mon Mar 14 2022,10:30p,,Box Score,,Toronto Raptors,L,,103,114,29,39,L 2,
LAL,69,Wed Mar 16 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,104,124,29,40,L 3,
LAL,70,Fri Mar 18 2022,7:30p,,Box Score,@,Toronto Raptors,W,OT,128,123,30,40,W 1,
LAL,71,Sat Mar 19 2022,8:00p,,Box Score,@,Washington Wizards,L,,119,127,30,41,L 1,
LAL,72,Mon Mar 21 2022,7:00p,,Box Score,@,Cleveland Cavaliers,W,,131,120,31,41,W 1,
LAL,73,Wed Mar 23 2022,10:00p,,Box Score,,Philadelphia 76ers,L,,121,126,31,42,L 1,
LAL,74,Sun Mar 27 2022,7:00p,,Box Score,@,New Orleans Pelicans,L,,108,116,31,43,L 2,
LAL,75,Tue Mar 29 2022,7:30p,,Box Score,@,Dallas Mavericks,L,,110,128,31,44,L 3,
LAL,76,Thu Mar 31 2022,10:00p,,Box Score,@,Utah Jazz,L,,109,122,31,45,L 4,
LAL,77,Fri Apr 1 2022,10:30p,,Box Score,,New Orleans Pelicans,L,,111,114,31,46,L 5,
LAL,78,Sun Apr 3 2022,3:30p,,Box Score,,Denver Nuggets,L,,118,129,31,47,L 6,
LAL,79,Tue Apr 5 2022,10:30p,,Box Score,@,Phoenix Suns,L,,110,121,31,48,L 7,
LAL,80,Thu Apr 7 2022,10:00p,,Box Score,@,Golden State Warriors,L,,112,128,31,49,L 8,
LAL,81,Fri Apr 8 2022,10:30p,,Box Score,,Oklahoma City Thunder,W,,120,101,32,49,W 1,
LAL,82,Sun Apr 10 2022,9:30p,,Box Score,@,Denver Nuggets,W,OT,146,141,33,49,W 2,
GSW,1,Tue Oct 19 2021,10:00p,,Box Score,@,Los Angeles Lakers,W,,121,114,1,0,W 1,
GSW,2,Thu Oct 21 2021,10:00p,,Box Score,,Los Angeles Clippers,W,,115,113,2,0,W 2,
GSW,3,Sun Oct 24 2021,9:00p,,Box Score,@,Sacramento Kings,W,,119,107,3,0,W 3,
GSW,4,Tue Oct 26 2021,8:00p,,Box Score,@,Oklahoma City Thunder,W,,106,98,4,0,W 4,
GSW,5,Thu Oct 28 2021,10:00p,,Box Score,,Memphis Grizzlies,L,OT,101,104,4,1,L 1,
GSW,6,Sat Oct 30 2021,8:30p,,Box Score,,Oklahoma City Thunder,W,,103,82,5,1,W 1,
GSW,7,Wed Nov 3 2021,10:00p,,Box Score,,Charlotte Hornets,W,,114,92,6,1,W 2,
GSW,8,Fri Nov 5 2021,10:00p,,Box Score,,New Orleans Pelicans,W,,126,85,7,1,W 3,
GSW,9,Sun Nov 7 2021,8:30p,,Box Score,,Houston Rockets,W,,120,107,8,1,W 4,
GSW,10,Mon Nov 8 2021,10:00p,,Box Score,,Atlanta Hawks,W,,127,113,9,1,W 5,
GSW,11,Wed Nov 10 2021,10:00p,,Box Score,,Minnesota Timberwolves,W,,123,110,10,1,W 6,
GSW,12,Fri Nov 12 2021,10:00p,,Box Score,,Chicago Bulls,W,,119,93,11,1,W 7,
GSW,13,Sun Nov 14 2021,7:00p,,Box Score,@,Charlotte Hornets,L,,102,106,11,2,L 1,
GSW,14,Tue Nov 16 2021,7:30p,,Box Score,@,Brooklyn Nets,W,,117,99,12,2,W 1,
GSW,15,Thu Nov 18 2021,7:30p,,Box Score,@,Cleveland Cavaliers,W,,104,89,13,2,W 2,
GSW,16,Fri Nov 19 2021,7:00p,,Box Score,@,Detroit Pistons,W,,105,102,14,2,W 3,
GSW,17,Sun Nov 21 2021,8:30p,,Box Score,,Toronto Raptors,W,,119,104,15,2,W 4,
GSW,18,Wed Nov 24 2021,10:00p,,Box Score,,Philadelphia 76ers,W,,116,96,16,2,W 5,
GSW,19,Fri Nov 26 2021,10:00p,,Box Score,,Portland Trail Blazers,W,,118,103,17,2,W 6,
GSW,20,Sun Nov 28 2021,3:30p,,Box Score,@,Los Angeles Clippers,W,,105,90,18,2,W 7,
GSW,21,Tue Nov 30 2021,10:00p,,Box Score,@,Phoenix Suns,L,,96,104,18,3,L 1,
GSW,22,Fri Dec 3 2021,10:00p,,Box Score,,Phoenix Suns,W,,118,96,19,3,W 1,
GSW,23,Sat Dec 4 2021,8:30p,,Box Score,,San Antonio Spurs,L,,107,112,19,4,L 1,
GSW,24,Mon Dec 6 2021,10:00p,,Box Score,,Orlando Magic,W,,126,95,20,4,W 1,
GSW,25,Wed Dec 8 2021,10:00p,,Box Score,,Portland Trail Blazers,W,,104,94,21,4,W 2,
GSW,26,Sat Dec 11 2021,8:30p,,Box Score,@,Philadelphia 76ers,L,,93,102,21,5,L 1,
GSW,27,Mon Dec 13 2021,7:00p,,Box Score,@,Indiana Pacers,W,,102,100,22,5,W 1,
GSW,28,Tue Dec 14 2021,7:30p,,Box Score,@,New York Knicks,W,,105,96,23,5,W 2,
GSW,29,Fri Dec 17 2021,7:30p,,Box Score,@,Boston Celtics,W,,111,107,24,5,W 3,
GSW,30,Sat Dec 18 2021,7:30p,,Box Score,@,Toronto Raptors,L,,100,119,24,6,L 1,
GSW,31,Mon Dec 20 2021,10:00p,,Box Score,,Sacramento Kings,W,,113,98,25,6,W 1,
GSW,32,Thu Dec 23 2021,10:00p,,Box Score,,Memphis Grizzlies,W,,113,104,26,6,W 2,
GSW,33,Sat Dec 25 2021,5:00p,,Box Score,@,Phoenix Suns,W,,116,107,27,6,W 3,
GSW,34,Tue Dec 28 2021,10:00p,,Box Score,,Denver Nuggets,L,,86,89,27,7,L 1,
GSW,35,Sat Jan 1 2022,9:00p,,Box Score,@,Utah Jazz,W,,123,116,28,7,W 1,
GSW,36,Mon Jan 3 2022,10:00p,,Box Score,,Miami Heat,W,,115,108,29,7,W 2,
GSW,37,Wed Jan 5 2022,7:30p,,Box Score,@,Dallas Mavericks,L,,82,99,29,8,L 1,
GSW,38,Thu Jan 6 2022,8:00p,,Box Score,@,New Orleans Pelicans,L,,96,101,29,9,L 2,
GSW,39,Sun Jan 9 2022,8:30p,,Box Score,,Cleveland Cavaliers,W,,96,82,30,9,W 1,
GSW,40,Tue Jan 11 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,108,116,30,10,L 1,
GSW,41,Thu Jan 13 2022,7:30p,,Box Score,@,Milwaukee Bucks,L,,99,118,30,11,L 2,
GSW,42,Fri Jan 14 2022,7:30p,,Box Score,@,Chicago Bulls,W,,138,96,31,11,W 1,
GSW,43,Sun Jan 16 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,99,119,31,12,L 1,
GSW,44,Tue Jan 18 2022,10:00p,,Box Score,,Detroit Pistons,W,,102,86,32,12,W 1,
GSW,45,Thu Jan 20 2022,10:00p,,Box Score,,Indiana Pacers,L,OT,117,121,32,13,L 1,
GSW,46,Fri Jan 21 2022,10:00p,,Box Score,,Houston Rockets,W,,105,103,33,13,W 1,
GSW,47,Sun Jan 23 2022,8:30p,,Box Score,,Utah Jazz,W,,94,92,34,13,W 2,
GSW,48,Tue Jan 25 2022,10:00p,,Box Score,,Dallas Mavericks,W,,130,92,35,13,W 3,
GSW,49,Thu Jan 27 2022,10:00p,,Box Score,,Minnesota Timberwolves,W,,124,115,36,13,W 4,
GSW,50,Sat Jan 29 2022,8:30p,,Box Score,,Brooklyn Nets,W,,110,106,37,13,W 5,
GSW,51,Mon Jan 31 2022,8:00p,,Box Score,@,Houston Rockets,W,,122,108,38,13,W 6,
GSW,52,Tue Feb 1 2022,8:30p,,Box Score,@,San Antonio Spurs,W,,124,120,39,13,W 7,
GSW,53,Thu Feb 3 2022,10:00p,,Box Score,,Sacramento Kings,W,,126,114,40,13,W 8,
GSW,54,Mon Feb 7 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,110,98,41,13,W 9,
GSW,55,Wed Feb 9 2022,10:00p,,Box Score,@,Utah Jazz,L,,85,111,41,14,L 1,
GSW,56,Thu Feb 10 2022,10:00p,,Box Score,,New York Knicks,L,,114,116,41,15,L 2,
GSW,57,Sat Feb 12 2022,8:30p,,Box Score,,Los Angeles Lakers,W,,117,115,42,15,W 1,
GSW,58,Mon Feb 14 2022,10:30p,,Box Score,@,Los Angeles Clippers,L,,104,119,42,16,L 1,
GSW,59,Wed Feb 16 2022,10:00p,,Box Score,,Denver Nuggets,L,,116,117,42,17,L 2,
GSW,60,Thu Feb 24 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,132,95,43,17,W 1,
GSW,61,Sun Feb 27 2022,7:30p,,Box Score,,Dallas Mavericks,L,,101,107,43,18,L 1,
GSW,62,Tue Mar 1 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,114,129,43,19,L 2,
GSW,63,Thu Mar 3 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,113,122,43,20,L 3,
GSW,64,Sat Mar 5 2022,8:30p,,Box Score,@,Los Angeles Lakers,L,,116,124,43,21,L 4,
GSW,65,Mon Mar 7 2022,9:00p,,Box Score,@,Denver Nuggets,L,,124,131,43,22,L 5,
GSW,66,Tue Mar 8 2022,10:00p,,Box Score,,Los Angeles Clippers,W,,112,97,44,22,W 1,
GSW,67,Thu Mar 10 2022,10:00p,,Box Score,@,Denver Nuggets,W,,113,102,45,22,W 2,
GSW,68,Sat Mar 12 2022,8:30p,,Box Score,,Milwaukee Bucks,W,,122,109,46,22,W 3,
GSW,69,Mon Mar 14 2022,10:00p,,Box Score,,Washington Wizards,W,,126,112,47,22,W 4,
GSW,70,Wed Mar 16 2022,10:00p,,Box Score,,Boston Celtics,L,,88,110,47,23,L 1,
GSW,71,Sun Mar 20 2022,8:30p,,Box Score,,San Antonio Spurs,L,,108,110,47,24,L 2,
GSW,72,Tue Mar 22 2022,7:00p,,Box Score,@,Orlando Magic,L,,90,94,47,25,L 3,
GSW,73,Wed Mar 23 2022,7:30p,,Box Score,@,Miami Heat,W,,118,104,48,25,W 1,
GSW,74,Fri Mar 25 2022,7:30p,,Box Score,@,Atlanta Hawks,L,,110,121,48,26,L 1,
GSW,75,Sun Mar 27 2022,6:00p,,Box Score,@,Washington Wizards,L,,115,123,48,27,L 2,
GSW,76,Mon Mar 28 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,95,123,48,28,L 3,
GSW,77,Wed Mar 30 2022,10:00p,,Box Score,,Phoenix Suns,L,,103,107,48,29,L 4,
GSW,78,Sat Apr 2 2022,8:30p,,Box Score,,Utah Jazz,W,,111,107,49,29,W 1,
GSW,79,Sun Apr 3 2022,9:00p,,Box Score,@,Sacramento Kings,W,,109,90,50,29,W 2,
GSW,80,Thu Apr 7 2022,10:00p,,Box Score,,Los Angeles Lakers,W,,128,112,51,29,W 3,
GSW,81,Sat Apr 9 2022,8:30p,,Box Score,@,San Antonio Spurs,W,,100,94,52,29,W 4,
GSW,82,Sun Apr 10 2022,9:30p,,Box Score,@,New Orleans Pelicans,W,,128,107,53,29,W 5,
CHI,1,Wed Oct 20 2021,7:00p,,Box Score,@,Detroit Pistons,W,,94,88,1,0,W 1,
